Unidad,Marca,Modelo,precio,Combustible,Año_del_vehiculo,kilometros,Caballos,puertas,color_coche,Comunidad_autonoma,Año_Venta,Mes_Venta,Año,Mes,Super_95,Diesel,marca_modelo,fecha
1,PEUGEOT,107,3990,Diésel,2006.0,155000,54.0,5,Amarillo,Galicia,2020,11,2020,11,1.154,1.024,PEUGEOT 107,2020-11-01
1,PEUGEOT,206,2000,Gasolina,2004.0,188000,90.0,5,Amarillo,Andalucía,2020,10,2020,10,1.16,1.03,PEUGEOT 206,2020-10-01
1,NISSAN,350Z,27499,Gasolina,2005.0,15000,300.0,3,Amarillo,Galicia,2021,01,2021,01,1.2166666666666666,1.0966666666666667,NISSAN 350Z,2021-01-01
1,FIAT,500,6300,Gasolina,2015.0,130000,69.0,3,Amarillo,Islas Canarias,2021,01,2021,01,1.2166666666666666,1.0966666666666667,FIAT 500,2021-01-01
1,AUDI,A3,14500,Diésel,2014.0,110000,150.0,5,Amarillo,Cataluña,2020,12,2020,12,1.1766666666666665,1.06,AUDI A3,2020-12-01
1,AUDI,A3,2990,Gasolina,2000.0,222500,150.0,3,Amarillo,Cataluña,2020,11,2020,11,1.154,1.024,AUDI A3,2020-11-01
1,OPEL,Adam,8500,Gasolina,2015.0,46300,100.0,3,Amarillo,Islas_Baleares,2020,11,2020,11,1.154,1.024,OPEL Adam,2020-11-01
1,OPEL,Adam,8990,Gasolina,2016.0,50000,100.0,3,Amarillo,Madrid,2020,12,2020,12,1.1766666666666665,1.06,OPEL Adam,2020-12-01
1,OPEL,Adam,6000,Gasolina,2015.0,100000,100.0,3,Amarillo,Andalucía,2020,12,2020,12,1.1766666666666665,1.06,OPEL Adam,2020-12-01
1,OPEL,Astra,3000,Gasolina,2000.0,236000,147.0,2,Amarillo,Galicia,2021,01,2021,01,1.2166666666666666,1.0966666666666667,OPEL Astra,2021-01-01
1,OPEL,Astra,2000,Diésel,2005.0,225000,100.0,5,Amarillo,Murcia,2020,11,2020,11,1.154,1.024,OPEL Astra,2020-11-01
1,HYUNDAI,Atos,1300,Gasolina,2004.0,138000,59.0,5,Amarillo,Madrid,2020,12,2020,12,1.1766666666666665,1.06,HYUNDAI Atos,2020-12-01
1,HYUNDAI,Atos Prime,2000,Gasolina,2001.0,32000,55.0,5,Amarillo,Cataluña,2020,11,2020,11,1.154,1.024,HYUNDAI Atos Prime,2020-11-01
1,HYUNDAI,Atos Prime,1250,Gasolina,2006.0,155000,63.0,5,Amarillo,Asturias,2021,01,2021,01,1.2166666666666666,1.0966666666666667,HYUNDAI Atos Prime,2021-01-01
1,FIAT,Bravo,800,Diésel,2000.0,230000,105.0,3,Amarillo,Castilla la Mancha,2021,01,2021,01,1.2166666666666666,1.0966666666666667,FIAT Bravo,2021-01-01
1,CITROEN,C5,4200,Diésel,2010.0,250000,109.0,4,Amarillo,Comunidad Valenciana,2020,12,2020,12,1.1766666666666665,1.06,CITROEN C5,2020-12-01
1,NISSAN,Cabstar,4000,Diésel,2004.0,200000,105.0,2,Amarillo,Andalucía,2020,11,2020,11,1.154,1.024,NISSAN Cabstar,2020-11-01
1,VOLKSWAGEN,California,32500,Diésel,2014.0,115200,140.0,4,Amarillo,Madrid,2021,01,2021,01,1.2166666666666666,1.0966666666666667,VOLKSWAGEN California,2021-01-01
1,VOLKSWAGEN,California,43900,Diésel,2019.0,45000,150.0,4,Amarillo,Cataluña,2020,11,2020,11,1.154,1.024,VOLKSWAGEN California,2020-11-01
1,CHEVROLET,Camaro,44900,Gasolina,2015.0,23000,432.0,2,Amarillo,Cataluña,2021,01,2021,01,1.2166666666666666,1.0966666666666667,CHEVROLET Camaro,2021-01-01
1,MERCEDES-BENZ,Clase CLA,36000,Gasolina,2019.0,3500,122.0,4,Amarillo,Cataluña,2020,12,2020,12,1.1766666666666665,1.06,MERCEDES-BENZ Clase CLA,2020-12-01
1,MERCEDES-BENZ,Clase G,10900,Gasolina,1997.0,90000,220.0,3,Amarillo,Cataluña,2021,01,2021,01,1.2166666666666666,1.0966666666666667,MERCEDES-BENZ Clase G,2021-01-01
1,RENAULT,Clio,4800,Gasolina,2014.0,148000,75.0,5,Amarillo,Islas Canarias,2020,11,2020,11,1.154,1.024,RENAULT Clio,2020-11-01
1,RENAULT,Clio,2500,Diésel,2001.0,158000,65.0,5,Amarillo,Andalucía,2020,12,2020,12,1.1766666666666665,1.06,RENAULT Clio,2020-12-01
1,RENAULT,Clio,4200,Gasolina,2013.0,129000,75.0,5,Amarillo,Islas Canarias,2021,01,2021,01,1.2166666666666666,1.0966666666666667,RENAULT Clio,2021-01-01
1,OPEL,Corsa,11900,Gasolina,2019.0,20700,150.0,3,Amarillo,Aragón,2020,11,2020,11,1.154,1.024,OPEL Corsa,2020-11-01
1,HYUNDAI,Coupé,1200,Gasolina,2000.0,230000,138.0,3,Amarillo,Islas Canarias,2021,01,2021,01,1.2166666666666666,1.0966666666666667,HYUNDAI Coupé,2021-01-01
1,SEAT,Córdoba,3600,Gasolina,2002.0,158199,156.0,2,Amarillo,Castilla la Mancha,2020,12,2020,12,1.1766666666666665,1.06,SEAT Córdoba,2020-12-01
1,CITROEN,DS3,6500,Diésel,2011.0,140000,92.0,3,Amarillo,Asturias,2020,12,2020,12,1.1766666666666665,1.06,CITROEN DS3,2020-12-01
1,,Daily,7000,Diésel,2013.0,470000,146.0,4,Amarillo,Andalucía,2020,11,2020,11,1.154,1.024,,2020-11-01
1,SEAT,Ibiza,2500,Diésel,2007.0,206000,70.0,5,Amarillo,Cataluña,2020,11,2020,11,1.154,1.024,SEAT Ibiza,2020-11-01
1,SEAT,Ibiza,900,Diésel,2000.0,135000,90.0,3,Amarillo,Andalucía,2020,11,2020,11,1.154,1.024,SEAT Ibiza,2020-11-01
1,SEAT,Ibiza,1999,Gasolina,2005.0,126000,75.0,5,Amarillo,Madrid,2020,12,2020,12,1.1766666666666665,1.06,SEAT Ibiza,2020-12-01
1,SEAT,Ibiza,1200,Diésel,2005.0,318000,64.0,3,Amarillo,Castilla la Mancha,2020,12,2020,12,1.1766666666666665,1.06,SEAT Ibiza,2020-12-01
1,RENAULT,Kangoo,4900,Diésel,2002.0,98000,65.0,5,Amarillo,Comunidad Valenciana,2020,12,2020,12,1.1766666666666665,1.06,RENAULT Kangoo,2020-12-01
1,RENAULT,Laguna,1000,Gasolina,1997.0,78000,115.0,5,Amarillo,Andalucía,2020,12,2020,12,1.1766666666666665,1.06,RENAULT Laguna,2020-12-01
1,SEAT,León,12500,Gasolina,2008.0,146000,240.0,5,Amarillo,Aragón,2021,01,2021,01,1.2166666666666666,1.0966666666666667,SEAT León,2021-01-01
1,SEAT,León,2500,Gasolina,2004.0,158000,105.0,5,Amarillo,Castilla y León,2020,12,2020,12,1.1766666666666665,1.06,SEAT León,2020-12-01
1,SEAT,León,4000,Diésel,2004.0,280000,150.0,5,Amarillo,Galicia,2020,12,2020,12,1.1766666666666665,1.06,SEAT León,2020-12-01
1,MINI,MINI,3600,Gasolina,2002.0,140000,90.0,3,Amarillo,Comunidad Valenciana,2021,01,2021,01,1.2166666666666666,1.0966666666666667,MINI MINI,2021-01-01
1,MINI,MINI,5500,Gasolina,2004.0,100000,115.0,3,Amarillo,Madrid,2020,11,2020,11,1.154,1.024,MINI MINI,2020-11-01
1,MINI,MINI,8500,Gasolina,2007.0,140000,175.0,3,Amarillo,Castilla la Mancha,2020,11,2020,11,1.154,1.024,MINI MINI,2020-11-01
1,MINI,MINI,6700,Gasolina,2007.0,104000,116.0,2,Amarillo,Cataluña,2020,12,2020,12,1.1766666666666665,1.06,MINI MINI,2020-12-01
